Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,10.0,200.0,69.9,19.5,40.0,0.49,5.6,22.7,0.25,14.1,23.6,0.6,19.7,70.1,0.51,99.71,44.5,45.76,22.49,0.36
Equip,2 Derrota,4.0,200.0,62.0,16.75,37.75,0.44,4.5,22.25,0.2,15.0,25.0,0.6,21.5,68.0,0.51,91.18,39.17,42.36,25.0,0.37
Equip,2 Victoria,6.0,200.0,75.17,21.33,41.5,0.51,6.33,23.0,0.28,13.5,22.67,0.6,18.5,71.33,0.51,105.37,47.8,47.92,20.93,0.36
Equip,3 Local,5.0,200.0,71.0,19.4,41.2,0.47,6.0,25.4,0.24,14.2,22.6,0.63,21.0,73.4,0.51,96.73,42.64,43.88,21.32,0.38
Equip,3 Visitant,5.0,200.0,68.8,19.6,38.8,0.51,5.2,20.0,0.26,14.0,24.6,0.57,18.4,66.8,0.51,102.99,46.6,47.8,23.81,0.34
Equip,4 Dificil,7.0,200.0,68.57,19.0,39.29,0.48,5.43,22.43,0.24,14.29,24.0,0.6,19.57,69.29,0.51,98.97,43.98,45.51,23.15,0.36
Equip,4 Facil,3.0,200.0,73.0,20.67,41.67,0.5,6.0,23.33,0.26,13.67,22.67,0.6,20.0,71.67,0.51,101.86,45.64,46.31,21.03,0.36
Equip,6 Ultims 3,3.0,200.0,68.33,18.67,41.67,0.45,6.67,22.33,0.3,11.0,19.0,0.58,19.33,93.0,0.51,93.91,42.38,43.03,17.58,0.35
Equip Rival,1 Mitjana Rival,10.0,200.0,66.7,18.4,39.3,0.47,6.3,23.1,0.27,11.0,16.5,0.67,22.7,66.8,0.49,99.85,44.63,44.3,17.63,0.37
Equip Rival,2 Derrota Rival,4.0,200.0,68.75,20.25,40.75,0.5,5.5,20.0,0.28,11.75,18.0,0.65,23.0,65.75,0.49,104.56,46.91,47.21,19.34,0.33
Equip Rival,2 Victoria Rival,6.0,200.0,65.33,17.17,38.33,0.45,6.83,25.17,0.27,10.5,15.5,0.68,22.5,67.5,0.49,96.79,43.18,42.4,16.54,0.4
Equip Rival,3 Local Rival,5.0,200.0,65.8,17.6,40.6,0.43,5.8,23.2,0.25,13.2,19.6,0.67,21.4,69.4,0.49,94.81,41.22,42.44,20.69,0.36
Equip Rival,3 Visitant Rival,5.0,200.0,67.6,19.2,38.0,0.51,6.8,23.0,0.3,8.8,13.4,0.66,24.0,64.2,0.49,105.3,48.2,46.31,14.43,0.38
Equip Rival,4 Dificil Rival,7.0,200.0,66.14,17.43,37.14,0.47,6.71,24.71,0.27,11.14,16.29,0.68,22.86,66.14,0.49,100.0,44.46,43.89,18.01,0.4
Equip Rival,4 Facil Rival,3.0,200.0,68.0,20.67,44.33,0.47,5.33,19.33,0.28,10.67,17.0,0.63,22.33,68.0,0.49,100.0,45.03,45.21,16.75,0.3
Equip Rival,6 Ultims 3 Rival,3.0,200.0,63.33,16.33,38.33,0.43,6.67,23.67,0.28,10.67,16.67,0.64,19.67,89.33,0.49,98.51,44.25,44.05,16.27,0.38
