Nombre,Condicion,Partidos,Minutos,Puntos,T2 Anotados,T2 Lanzados,% T2,T3 Anotados,T3 Lanzados,% T3,T1 Anotados,T1 Lanzados,% T1,Reb. Ofensivos,Reb. Defensivos,Rebotes,Asistencias,Robos,Perdidas,Tapones,Tapones Recibidos,Mates,Faltas Cometidas,Faltas Recibidas,Valoracion,Posesiones,Ritmo,OER,% TC Efectivo,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Pérdidas Mal Pase,Perdidas Balón Controlado,Otras Perdidas,Faltas de Tiro,Faltas No de Tiro,Técnicas,Antideportivas,Ofensivas,% Perd pase,%Perd balon,%Perd others,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Puntos tras Assistencia,OER tras Asistencia,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p
Equipo,1 Media,4.0,200.0,73.25,17.25,41.0,0.42,6.5,19.5,0.33,19.25,28.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,69.75,0.52,105.02,44.63,47.22,31.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo,2 Derrota,1.0,200.0,62.0,12.0,44.0,0.27,7.0,23.0,0.3,17.0,28.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,76.0,0.52,81.58,33.58,36.41,25.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo,2 Victoria,3.0,200.0,77.0,19.0,40.0,0.47,6.33,18.33,0.35,20.0,28.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.33,0.0,0.0,67.67,0.52,113.79,48.86,51.23,34.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo,3 Local,2.0,200.0,64.5,14.5,41.5,0.35,7.0,23.0,0.3,14.5,22.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,71.0,0.52,90.85,38.76,39.94,22.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo,3 Visitante,2.0,200.0,82.0,20.0,40.5,0.49,6.0,16.0,0.38,24.0,34.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,68.5,0.52,119.71,51.33,54.81,42.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo,4 Dificil,2.0,200.0,64.5,14.5,41.5,0.35,7.0,23.0,0.3,14.5,22.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,71.0,0.52,90.85,38.76,39.94,22.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo,4 Facil,2.0,200.0,82.0,20.0,40.5,0.49,6.0,16.0,0.38,24.0,34.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,68.5,0.52,119.71,51.33,54.81,42.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo,6 Ultimos 3,3.0,200.0,75.33,17.33,41.67,0.42,6.33,18.33,0.35,21.67,32.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.67,0.0,0.0,93.0,0.52,105.02,44.63,47.22,31.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo Rival,1 Media Rival,4.0,200.0,64.5,13.5,32.75,0.41,7.75,26.0,0.3,14.25,20.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75,0.0,0.0,65.0,0.48,99.23,42.77,42.85,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo Rival,2 Derrota Rival,1.0,200.0,67.0,12.0,35.0,0.34,10.0,28.0,0.36,13.0,22.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,69.0,0.48,97.1,42.86,40.85,20.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo Rival,2 Victoria Rival,3.0,200.0,63.67,14.0,32.0,0.44,7.0,25.33,0.28,14.67,20.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,63.33,0.48,100.53,42.73,43.52,25.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo Rival,3 Local Rival,2.0,200.0,63.5,15.0,36.0,0.42,7.0,24.5,0.29,12.5,20.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,66.5,0.48,95.49,42.15,42.15,20.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo Rival,3 Visitante Rival,2.0,200.0,65.5,12.0,29.5,0.41,8.5,27.5,0.31,16.0,21.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,63.5,0.48,103.15,43.42,43.46,28.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo Rival,4 Dificil Rival,2.0,200.0,63.5,15.0,36.0,0.42,7.0,24.5,0.29,12.5,20.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,66.5,0.48,95.49,42.15,42.15,20.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo Rival,4 Facil Rival,2.0,200.0,65.5,12.0,29.5,0.41,8.5,27.5,0.31,16.0,21.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,63.5,0.48,103.15,43.42,43.46,28.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo Rival,6 Ultimos 3 Rival,3.0,200.0,66.0,12.0,31.33,0.38,9.0,27.67,0.33,15.0,21.33,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.67,0.0,0.0,86.67,0.48,99.23,42.77,42.85,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
